ind,type,start,bl1,bs1,dir1,dist1,bl2,bs2,dir2,dist2,walk
56635,2,79,L18,167,1,11938,L7,388,2,12025,2020
56635,2,79,L18,144,1,12507,L7,388,2,12575,1010
56635,2,79,L18,146,1,13203,L7,388,2,13616,848
56635,2,79,L18,170,1,14113,L7,388,2,13957,1234
56635,2,79,L18,152,1,14806,L7,388,2,14587,937
56635,2,79,L33,542,2,4926,L6,388,2,5233,687
56635,2,79,L12,143,2,12824,L7,1673,2,12575,1012
56635,2,79,L12,145,2,13633,L7,1673,2,12881,534
56635,2,79,L12,147,2,14186,L7,1673,2,13616,503
56635,2,79,L12,149,2,14816,L7,1673,2,13957,1346
56635,2,79,L12,151,2,15709,L7,1673,2,14587,528
56635,2,79,L18,313,1,8890,L7,1673,2,9050,691
56635,2,79,L18,315,1,9593,L7,1673,2,9724,1075
56635,2,79,L18,163,1,10187,L7,1673,2,10008,644
56635,2,79,L18,165,1,11538,L7,1673,2,10729,391
56635,2,79,L18,167,1,11938,L7,1673,2,12025,1821
56635,2,79,L18,144,1,12507,L7,1673,2,12575,811
56635,2,79,L18,146,1,13203,L7,1673,2,13616,649
56635,2,79,L18,170,1,14113,L7,1673,2,13957,1035
56635,2,79,L18,152,1,14806,L7,1673,2,14587,738
56635,2,79,L12,143,2,12824,L7,1697,2,12098,1507
56635,2,79,L12,145,2,13633,L7,1697,2,12404,1029
56635,2,79,L12,147,2,14186,L7,1697,2,13139,998
56635,2,79,L12,149,2,14816,L7,1697,2,13480,1841
56635,2,79,L12,151,2,15709,L7,1697,2,14110,1023
56635,2,79,L18,313,1,8890,L7,1697,2,8573,1186
56635,2,79,L18,315,1,9593,L7,1697,2,9247,1570
56635,2,79,L18,163,1,10187,L7,1697,2,9531,1139
56635,2,79,L18,165,1,11538,L7,1697,2,10252,886
56635,2,79,L18,167,1,11938,L7,1697,2,11548,2316
56635,2,79,L18,144,1,12507,L7,1697,2,12098,1306
56635,2,79,L18,146,1,13203,L7,1697,2,13139,1144
56635,2,79,L18,170,1,14113,L7,1697,2,13480,1530
56635,2,79,L18,152,1,14806,L7,1697,2,14110,1233
56635,2,79,L12,143,2,12824,L7,1698,2,12376,1490
56635,2,79,L12,145,2,13633,L7,1698,2,12682,1012
56635,2,79,L12,147,2,14186,L7,1698,2,13417,981
56635,2,79,L12,149,2,14816,L7,1698,2,13758,1824
56635,2,79,L12,151,2,15709,L7,1698,2,14388,1006
56635,2,79,L18,313,1,8890,L7,1698,2,8851,1169
56635,2,79,L18,315,1,9593,L7,1698,2,9525,1553
56635,2,79,L18,163,1,10187,L7,1698,2,9809,1122
56635,2,79,L18,165,1,11538,L7,1698,2,10530,869
56635,2,79,L18,167,1,11938,L7,1698,2,11826,2299
56635,2,79,L18,144,1,12507,L7,1698,2,12376,1289
56635,2,79,L18,146,1,13203,L7,1698,2,13417,1127
56635,2,79,L18,170,1,14113,L7,1698,2,13758,1513
56635,2,79,L18,152,1,14806,L7,1698,2,14388,1216
56635,2,79,L11,18,1,7873,L9,1699,1,10752,982
56635,2,79,L12,18,2,8710,L9,1699,1,10752,982
56635,2,80,L19,1,2,5678,L6,387,2,5598,1144
56635,2,80,L19,1,2,5678,L6,388,2,6553,865
56635,2,90,L21,57,1,10863,L9,368,1,15564,868
56635,2,90,L21,398,1,10863,L9,368,1,16558,1033
56635,2,90,L21,398,1,10863,L6,387,2,11801,1303
56635,2,90,L21,398,1,10863,L6,388,2,12756,1024
56635,2,90,L21,57,1,10863,L9,1699,1,15908,1359
56635,2,90,L21,398,1,10863,L9,1699,1,16902,1524
57085,1,982,L3,1,2,7288,NONE,-1,-1,-1,464
57085,1,982,L3,32,2,7288,NONE,-1,-1,-1,1131
57085,1,1656,L6,32,2,7972,NONE,-1,-1,-1,1161
57085,2,398,L9,48,2,3321,L10,1,2,11252,625
57085,2,398,L9,1651,2,2489,L10,1,2,10053,1568
57085,2,398,L9,188,2,2947,L5,1,2,10372,552
57085,2,398,L9,48,2,3321,L10,32,2,11252,1292
57085,2,398,L9,1651,2,2489,L10,32,2,10053,2235
57085,2,398,L9,188,2,2947,L5,32,2,10372,1219
57085,2,399,L21,44,2,2188,L10,1,2,8699,785
57085,2,399,L21,43,2,1690,L10,1,2,7961,427
57085,2,399,L21,42,2,1089,L10,1,2,7246,752
57085,2,399,L21,402,2,4271,L14,1,2,8880,911
57085,2,399,L21,79,2,11287,L19,1,2,5678,818
57085,2,399,L21,42,2,1089,L5,1,2,6754,1680
57085,2,399,L21,42,2,1089,L66,1,2,6796,1712
57085,2,399,L21,400,2,2841,L5,1,2,7953,908
