bl1,bl2,bs1,bs2,dir1,dir2,condist
L11,L25,32,506,2,2,732
L11,L26,18,619,1,1,220
L11,L26,18,619,1,2,220
L11,L261,18,619,1,1,220
L11,L261,18,619,1,2,220
L11,L262,18,619,1,1,220
L11,L262,18,619,1,2,220
L11,L27,18,180,1,1,395
L11,L27,18,180,1,2,395
L11,L28,18,771,1,1,74
L11,L28,18,771,1,2,74
L11,L3,2,2,1,1,0
L11,L3,2,32,1,2,409
L11,L33,76,91,1,1,577
L11,L33,2,506,1,1,786
L11,L33,76,78,1,2,617
L11,L33,2,506,1,2,786
L11,L33,32,506,2,1,732
L11,L33,88,88,2,1,0
L11,L33,32,506,2,2,732
L11,L33,88,81,2,2,36
L11,L35,2,506,1,1,786
L11,L35,2,506,1,2,786
L11,L35,32,506,2,1,732
L11,L35,32,506,2,2,732
L11,L36,18,619,1,1,220
L11,L36,18,619,1,2,220
L11,L38,18,18,1,1,0
L11,L38,18,18,1,2,0
L11,L4,2,2,1,1,0
L11,L4,2,32,1,2,409
L11,L43,18,18,1,1,0
L11,L43,18,18,1,2,0
L11,L44,18,1508,1,1,261
L11,L44,18,17,1,2,300
L11,L441,18,1508,1,1,261
L11,L441,18,17,1,2,300
L11,L45,2,506,1,1,786
L11,L45,2,506,1,2,786
L11,L45,32,506,2,1,732
L11,L45,32,506,2,2,732
L11,L5,2,2,1,1,0
L11,L5,2,32,1,2,409
L11,L6,2,2,1,1,0
L11,L6,2,32,1,2,409
L11,L66,2,2,1,1,0
L11,L66,2,32,1,2,409
L11,L9,18,18,1,1,0
L11,L9,18,180,1,2,395
L11,251,2,506,1,1,786
L11,251,2,506,1,2,786
L11,251,32,506,2,1,732
L11,251,32,506,2,2,732
L12,L13,116,139,1,1,23
L12,L13,116,116,1,2,0
L12,L13,18,18,2,1,0
L12,L13,144,144,2,1,0
L12,L13,18,180,2,2,395
L12,L13,144,111,2,2,420
L12,L14,66,18,1,1,215
L12,L14,66,66,1,2,0
L12,L14,2,1,2,1,257
L12,L14,2,32,2,2,409
L12,L15,114,216,1,1,767
L12,L15,13,22,1,1,185
L12,L15,114,221,1,2,767
L12,L15,13,13,1,2,0
L12,L15,2,215,2,1,303
L12,L15,141,216,2,1,785
L12,L15,2,32,2,2,409
L12,L15,141,221,2,2,785
L12,L16,66,18,1,1,215
L12,L16,66,66,1,2,0
L12,L16,2,2,2,1,0
L12,L16,2,32,2,2,409
L12,L17,66,18,1,1,215
L12,L17,17,297,1,2,401
L12,L17,2,2,2,1,0
L12,L17,2,32,2,2,409
L12,L18,17,311,1,1,495
L12,L18,86,83,1,1,100
L12,L18,17,322,1,2,442
L12,L18,86,86,1,2,0
L12,L18,136,307,2,1,605
L12,L18,18,18,2,1,0
L12,L18,144,144,2,1,0
