ind,type,startbs,bl,endbs,dir,dist,walk
1895,2,2,L12,18,2,2384,3256
1895,2,2,L17,262,1,4163,3435
1895,3,1680,L7,165,1,6018,3099
1895,3,111,L18,317,2,2851,6140
1895,3,619,L36,178,1,3067,2744
1895,2,1,L5,741,1,10693,8551
1895,2,1,L4,18,1,2406,2998
1895,3,111,L7,176,2,2031,5789
1895,3,111,L18,176,2,2031,5789
1895,3,111,L7,317,2,2851,6140
1895,3,111,L13,177,2,2703,5604
1895,2,1,L3,18,1,3045,2998
1895,2,1,L10,18,1,2838,2998
1895,3,111,L13,178,2,3618,6276
1895,2,1,L66,18,1,2838,2998
1895,3,111,L18,177,2,2567,5604
1895,3,18,L13,165,1,5767,2037
1895,2,1,L1,13,1,6193,2468
1895,2,32,L12,86,1,3163,6812
1895,2,1,L66,1658,1,7219,7616
1895,2,380,L20,386,2,4541,9028
1895,2,2,L17,18,1,2446,3256
1895,3,18,L13,163,1,4416,2135
