cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
420,27,1,4200,1493.3333333333337,75.0,60.0
420,24,0,0,188.33333333333334,85.0,90.0
420,23,7,3780,681.666666666667,135.0,0.0
420,13,1,2940,1353.3333333333337,5.0,90.0
420,9,4,3600,355.0,55.0,0.0
420,17,0,0,0.0,0.0,0.0
420,8,12,3350,1846.6666666666727,140.0,0.0
420,14,0,0,360.0,0.0,0.0
420,20,0,0,2200.000000000001,55.0,90.0
420,26,4,3420,1280.0,85.0,0.0
420,25,2,4200,580.0,95.0,0.0
420,18,1,2400,415.00000000000017,0.0,150.0
420,19,1,2400,402.50000000000006,0.0,90.0
420,16,2,4200,1283.3333333333346,65.0,270.0
420,15,3,3600,635.0,0.0,0.0
480,1,6,4631,2185.0,165.0,540.0
480,4,1,4200,320.00000000000006,30.0,0.0
480,3,2,4800,1741.6666666666679,50.0,0.0
480,2,7,4371,650.0,235.0,0.0
480,5,0,0,835.0,40.0,60.0
480,6,2,1110,5538.333333333352,185.0,2340.0
480,7,6,4553,9929.999999999978,275.0,840.0
480,12,0,0,4893.333333333328,30.0,60.0
480,11,2,4800,924.9999999999991,150.0,570.0
480,10,4,3972,4008.333333333308,100.0,1440.0
480,22,7,4028,225.0,110.0,60.0
480,21,8,4725,1530.0000000000018,245.0,0.0
480,27,1,4800,1768.3333333333344,80.0,120.0
480,24,2,4800,188.33333333333334,85.0,90.0
480,23,3,4216,738.3333333333336,220.0,0.0
480,13,1,2940,1558.333333333335,5.0,90.0
480,9,4,4800,600.0,85.0,0.0
480,17,0,0,0.0,0.0,0.0
480,8,7,3000,2181.6666666666733,220.0,0.0
480,14,0,0,490.0,0.0,0.0
480,20,0,0,2787.4999999999977,55.0,120.0
480,26,1,4800,1470.0,125.0,0.0
